employee_id;first_name;middle_initial;last_name;birth_date;gender;city_id;shop_id;hire_date
1;Kenneth;E;Ramirez;1991-01-02;F;6;1;2016-03-28
2;Alexa;G;French;1998-05-23;F;16;27;2022-09-16
3;Amy;Y;Cabrera;1970-11-10;M;4;36;2017-02-23
4;Ashley;V;Bullock;1998-05-01;F;6;5;2013-11-06
5;Bridget;P;Williams;1974-04-30;F;4;23;2016-04-05
6;Rebecca;P;Garcia;1995-06-09;M;16;64;2021-07-27
7;Antonio;T;Peters;1968-12-12;M;20;12;2015-03-29
8;Katrina;T;Rodgers;1987-09-04;F;4;55;2021-02-10
9;Douglas;T;Wilson;1990-05-24;M;21;50;2023-03-18
10;Roberto;H;Smith;1997-03-30;M;17;19;2021-09-11
11;Julia;U;Kim;2000-05-19;F;4;22;2023-01-24
12;Frank;X;Dawson;1971-02-03;F;5;51;2023-01-25
13;Matthew;S;Ramsey;1986-09-05;F;15;43;2019-07-01
14;Alison;J;Robinson;1981-03-20;M;6;32;2020-12-24
15;Sean;A;Thompson;2000-04-21;F;16;56;2014-10-19
16;Luis;P;Lee;1990-08-27;M;8;27;2013-01-10
17;Erin;N;Beard;1972-05-13;M;6;23;2021-05-22
18;Keith;I;Wade;1999-11-08;F;1;71;2015-10-26
19;Annette;T;Ramos;1968-07-31;M;18;44;2023-09-18
20;Larry;F;Hamilton;1977-11-25;F;3;11;2015-10-25
21;Dustin;Z;Brady;1983-06-17;F;1;67;2017-05-28
22;Karen;H;Dudley;1973-05-04;M;21;17;2017-10-09
23;Kevin;T;Moreno;2004-06-05;F;14;38;2020-08-23
24;Richard;Y;Gonzales;1980-01-27;M;6;3;2018-10-02
25;Donald;Q;Johnson;1982-11-06;M;15;67;2013-04-02
26;Sandra;F;Fox;1980-08-24;M;17;29;2023-02-28
27;Jennifer;H;Williams;1991-11-20;F;11;23;2018-07-06
28;Edward;N;Smith;2002-10-06;F;10;69;2019-12-14
29;Jon;B;Gonzalez;1989-04-05;F;7;14;2017-03-29
30;Bobby;F;Barton;1969-06-24;M;6;55;2022-10-29
31;David;C;Gill;1990-04-20;F;3;45;2022-02-10
32;Carol;C;Flores;1964-12-17;M;14;63;2023-01-26
33;Donna;O;Bryant;2005-03-06;M;19;18;2014-06-10
34;Timothy;J;Mercer;1966-12-14;F;3;24;2013-10-10
35;Kimberly;J;Wilson;1999-05-15;F;17;40;2019-05-01
36;Kayla;B;Powell;1996-07-11;M;4;57;2013-12-10
37;Adam;Z;Moyer;1992-07-24;F;21;46;2015-10-19
38;Cynthia;B;Warren;1987-09-11;F;10;25;2019-01-01
39;Anita;T;Williams;1983-02-12;M;3;69;2023-01-28
40;Daniel;N;Lee;1965-06-17;M;16;70;2016-12-17
41;Brian;K;Schaefer;1973-06-25;M;3;41;2018-07-01
42;Willie;L;Collins;1982-05-21;M;8;33;2019-04-04
43;Olivia;A;Duran;1998-06-29;M;21;63;2016-08-28
44;Justin;P;Smith;1995-05-17;M;14;48;2018-02-01
45;Scott;M;Mooney;1971-10-06;M;19;16;2022-07-09
46;Kimberly;T;Price;1970-10-16;F;6;2;2018-08-09
47;Donna;R;Armstrong;1979-12-11;M;17;42;2018-03-09
48;Brandi;F;Morris;1967-10-23;F;16;34;2016-10-16
49;Ronald;D;Lewis;1977-12-04;F;17;7;2015-05-18
50;Courtney;A;Reynolds;1974-08-24;F;17;23;2015-05-16
51;Cheryl;H;Suarez;1990-06-23;M;13;37;2019-07-15
52;Travis;L;Love;1977-07-03;F;7;25;2013-08-10
53;Roger;J;Lewis;1977-03-22;M;19;27;2017-12-21
54;Andrea;A;Edwards;1985-04-17;F;20;15;2020-11-26
55;James;G;Flores;2003-12-15;M;15;23;2013-07-11
56;Samantha;Y;Berry;1971-10-13;M;1;72;2016-06-09
57;David;F;Ewing;1973-07-29;M;20;11;2015-05-04
58;Brenda;Z;Novak;1976-01-05;M;12;59;2015-09-18
59;Daniel;P;Oconnor;1973-02-28;M;16;69;2013-09-30
60;Stephen;G;Ali;1977-08-26;F;4;6;2016-08-06
61;Kristen;Q;Parker;1970-02-11;M;13;59;2016-04-06
62;Ruben;A;Friedman;1981-10-26;M;7;66;2013-03-30
63;Timothy;B;Walker;1970-08-10;F;14;50;2022-08-28
64;Shane;M;Barnett;1999-09-06;F;5;46;2018-12-04
65;Michael;Y;Gonzales;1973-12-03;F;16;3;2019-11-01
66;Adam;F;Brooks;1988-07-21;F;12;26;2013-12-20
67;Robert;E;Page;1966-09-17;M;7;41;2019-02-16
68;Mary;U;Patterson;1988-03-28;F;12;52;2022-10-31
69;Amanda;G;Brooks;1970-11-22;F;2;18;2020-12-12
70;Kenneth;N;Sullivan;1978-09-20;F;16;11;2014-03-09
71;Jessica;Z;Roberts;1991-11-27;F;8;36;2023-11-22
72;Todd;N;Gross;1982-12-02;F;11;62;2014-11-12
73;Wanda;O;Brown;1970-12-07;F;1;38;2020-09-29
74;Philip;L;Clark;1997-05-28;F;19;21;2019-09-17
75;David;C;James;1989-12-06;M;3;9;2018-03-13
76;Paul;C;White;1988-04-05;F;17;26;2017-03-21
77;Hannah;C;Cooper;1968-11-05;F;19;8;2023-02-28
78;John;B;Kelly;1987-06-09;M;19;72;2021-10-15
79;Jared;I;Lamb;1995-02-19;F;9;9;2019-02-17
80;Kristen;C;Rodriguez;2004-04-20;F;12;55;2018-07-27
81;Tammy;A;Hardy;1983-02-15;F;7;71;2019-06-29
82;John;V;Thomas;1978-03-12;M;14;39;2016-11-14
83;Madison;A;Perez;1995-12-27;M;1;16;2018-07-26
84;Seth;I;Carter;1979-10-26;M;11;31;2016-05-28
85;Sabrina;P;Williams;1986-01-11;M;11;28;2014-08-04
86;Melissa;U;Castro;1997-12-04;F;4;46;2016-08-22
87;Julia;W;Duffy;1992-06-02;M;7;54;2021-05-07
88;Joshua;B;Davis;2003-01-25;M;10;1;2020-08-31
89;Andrew;F;Walker;1965-04-19;M;10;45;2021-05-29
90;Tracey;X;Miller;1970-09-21;F;16;11;2022-10-14
91;Jennifer;A;Diaz;2000-11-05;F;19;36;2022-02-27
92;James;O;Gilbert;1964-12-09;M;5;65;2015-06-28
93;Julie;X;Underwood;1995-03-05;M;3;43;2021-11-11
94;Andrea;A;Sims;1993-08-23;F;8;65;2023-08-31
95;Charles;W;Barton;1991-05-05;M;1;14;2021-08-22
96;Alexandra;J;Richmond;1965-02-07;M;12;23;2016-10-07
97;Linda;S;Mitchell;2005-06-29;F;6;57;2014-12-05
98;Stacey;S;Wright;1988-08-31;F;7;36;2016-05-23
99;Michael;L;Butler;1999-07-25;F;17;62;2014-10-22
100;Sharon;P;Morales;1986-11-06;F;14;60;2015-06-30
101;Jason;T;Elliott;1996-10-03;F;10;28;2014-08-07
102;Justin;B;Glass;1987-12-07;M;7;21;2022-02-18
103;Laura;B;Cook;1995-08-11;M;11;3;2016-10-29
104;Laura;D;Cobb;1998-05-11;F;5;38;2023-11-10
105;James;N;Jones;1978-03-28;M;15;62;2016-06-23
106;Emily;Y;Edwards;1987-09-12;M;16;29;2022-07-13
107;Carlos;Q;Sanchez;1991-04-12;F;5;51;2022-10-17
108;John;L;Carter;1982-10-17;M;16;11;2013-09-25
109;Heather;V;Singh;1995-12-21;F;10;11;2021-11-06
110;Eric;V;Simmons;1990-10-07;F;7;38;2021-09-18
111;Jessica;K;Patton;1996-10-18;F;15;60;2015-08-19
112;William;W;Summers;1965-06-25;F;5;49;2022-05-19
113;Roy;E;Anderson;1995-11-18;F;19;60;2023-02-22
114;Roger;L;Hernandez;1991-12-26;M;8;49;2023-07-27
115;Jesse;Y;Estes;1988-04-18;F;2;9;2022-03-18
116;Victoria;R;Jensen;1988-01-05;M;4;15;2014-07-11
117;Thomas;B;Miller;2001-02-17;M;9;24;2016-06-14
118;Michael;U;Wilkins;1988-05-29;M;2;72;2020-07-09
119;Daniel;N;Lee;1982-01-26;F;18;30;2014-04-23
120;Brandy;T;Christensen;1974-06-29;M;5;49;2022-12-23
121;Maria;T;Kidd;1971-11-04;F;21;30;2015-03-16
122;Heather;J;Wright;2003-10-17;M;13;26;2023-01-17
123;Jacqueline;C;Jones;1982-11-01;M;15;66;2020-06-24
124;Walter;J;Lewis;1990-01-30;F;6;32;2018-06-01
125;Sarah;M;Thomas;1979-05-09;F;16;32;2020-08-29
126;Samantha;X;Hernandez;1992-03-01;F;8;56;2021-05-20
127;Joseph;D;Torres;1993-11-07;F;20;16;2023-10-27
128;Joseph;G;Anderson;1995-09-15;M;18;58;2021-05-17
129;Jamie;Y;Ray;1994-02-03;F;1;14;2019-12-28
130;Christina;G;Munoz;1973-02-15;M;9;43;2022-12-07
131;Jason;W;Mason;1972-09-07;M;18;68;2015-12-25
132;Michelle;Y;Williams;1989-10-13;M;5;20;2018-03-12
133;Tommy;Q;Roman;1983-09-28;F;20;61;2021-04-14
134;Lawrence;Z;Graham;1976-02-25;M;1;20;2019-10-21
135;Kimberly;G;Ramirez;1983-07-20;F;8;10;2020-09-30
136;Caleb;A;Carroll;1970-03-10;M;9;32;2020-10-17
137;Jerry;E;Brown;1978-03-21;M;8;46;2021-07-12
138;Edward;S;Hall;1992-01-28;M;3;71;2023-09-26
139;Gabriela;M;Rhodes;1986-09-12;M;17;10;2015-01-08
140;Erin;Y;Reynolds;1965-11-16;M;6;16;2017-04-06
141;Mark;R;Huff;1971-01-30;M;12;8;2015-08-08
142;Jared;R;Cline;1979-07-27;M;11;32;2019-10-20
143;Jeanette;C;Fowler;2004-08-31;F;6;2;2023-12-08
144;Nicole;E;Brown;1982-05-30;F;10;54;2015-03-12
145;Thomas;N;Ferguson;1997-05-10;F;20;46;2015-10-17
146;Debra;H;Taylor;1991-04-16;F;20;32;2021-01-10
147;Stephanie;P;Brown;1992-07-28;F;13;44;2016-09-26
148;Anthony;P;Carr;1985-04-10;M;12;42;2020-12-11
149;Terri;U;Green;1997-01-19;M;3;68;2016-07-07
150;Marcus;S;Banks;1966-07-24;F;18;41;2019-12-07
